"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C3","C_0603","5.2mm","14.875mm","5.2mm","14.875mm","4.45mm","14.875mm","T","0","4.7uF",
"C10","C_1206","11.5mm","8.1mm","11.5mm","8.1mm","11.5mm","6.6mm","T","90","10uF",
"C11","C_0603","8.425mm","17.575mm","8.425mm","17.575mm","8.425mm","16.825mm","T","90","0.1uF",
"C12","C_0603","5.8mm","4.55mm","5.8mm","4.55mm","6.55mm","4.55mm","T","180","0.1uF",
"C13","C_0603","8.925mm","4.55mm","8.925mm","4.55mm","8.175mm","4.55mm","T","0","0.1uF",
"C14","C_0603","9.175mm","11.375mm","9.175mm","11.375mm","9.925mm","11.375mm","T","180","2.2nF",
"D1","LED_0603","5.8mm","1.175mm","5.8mm","1.175mm","5.0mm","1.175mm","T","0","LED",
"R1","R_0603","5.8mm","2.85mm","5.8mm","2.85mm","6.55mm","2.85mm","T","180","4.7K",
"R2","R_0603","8.9mm","2.725mm","8.9mm","2.725mm","9.65mm","2.725mm","T","180","4.7K",
"R4","R_0603","5.2mm","13.15mm","5.2mm","13.15mm","4.45mm","13.15mm","T","0","4.7K",
"R5","R_0603","5.2mm","11.375mm","5.2mm","11.375mm","4.45mm","11.375mm","T","0","4.7K",
"U1","SOT-23-5","5.7mm","17.45mm","5.7mm","17.45mm","4.6mm","18.4mm","T","0","SPX3819M5-L-3-3",
"U2","QFN-24_4X4X05P","7.5mm","8.1mm","7.5mm","8.1mm","5.5mm","9.35mm","T","270","MPU-6050",
"Through Hole Items ",
"JP1","DIP-1.5Hole-2.54mm-Pitch-8P","1.0mm","10.0mm","1.0mm","10.0mm","1.0mm","18.89mm","T","270","JACK8",
